Date/Time,2220_O_NSEW,8457_O_EDWD,5571_O_BUFF,2499_O_NOSD,5624_O_BUFF,6071_O_PHLL,5560_O_UPTN,7543_O_MILL,3746_O_BVFL,4530_O_CNTP,8797_O_GRTR,8941_O_DOWN,3881_O_SRRY,4431_O_WBG,2400_O_MRSD
2019-02-19 15:00:00,,,26.5,,26.5,,,,56.9285714286,47.0,,129.142857143,,68.3571428571,69.2857142857
2019-02-19 15:15:00,,,30.8666666667,,30.8666666667,,,,57.7333333333,58.3333333333,,125.733333333,,55.5333333333,71.6666666667
2019-02-19 15:30:00,,,33.4666666667,,33.4666666667,,,,63.4,50.6666666667,,121.4,,49.0666666667,71.0
2019-02-19 15:45:00,,,37.2,,37.2,,,,68.5333333333,54.7333333333,,146.2,,46.8666666667,67.7333333333
2019-02-19 16:00:00,,,42.7333333333,,42.7333333333,,,,62.4,58.7333333333,,103.466666667,,63.8666666667,69.8
2019-02-19 16:15:00,,,53.9333333333,,53.9333333333,,,,66.3333333333,59.4666666667,,95.6666666667,,82.7333333333,61.0666666667
2019-02-19 16:30:00,,,61.0666666667,,61.0666666667,,,,67.0,53.0,,107.866666667,,70.4666666667,59.6
2019-02-19 16:45:00,,,54.1333333333,,54.1333333333,,,,67.1333333333,87.7333333333,,110.066666667,,66.9333333333,64.0
2019-02-19 17:00:00,,,53.0666666667,,53.0666666667,,,,64.9333333333,75.0666666667,,131.8,,71.0666666667,70.1333333333
2019-02-19 17:15:00,,,52.1333333333,,52.1333333333,,,,72.7333333333,66.2666666667,,119.933333333,,67.1333333333,62.5333333333
2019-02-19 17:30:00,,,49.3333333333,,49.3333333333,,,,76.2,67.1333333333,,119.0,,61.7333333333,60.1333333333
2019-02-19 17:45:00,58.5,,47.1333333333,,47.1333333333,,,,75.9333333333,71.8666666667,,117.8,,64.4666666667,72.2666666667
2019-02-19 18:00:00,110.2,,46.0666666667,,46.0666666667,,,,71.8666666667,73.2,,105.4,,78.4666666667,67.0666666667
2019-02-19 18:15:00,136.6,,51.2666666667,,51.2666666667,,,,79.8666666667,72.9333333333,,112.733333333,,91.0666666667,65.9333333333
2019-02-19 18:30:00,145.266666667,,48.4,,48.4,,,,78.0666666667,94.0666666667,,103.4,,80.6,60.6666666667
2019-02-19 18:45:00,142.0,,47.0666666667,,47.0666666667,,,,67.0666666667,85.2,,113.733333333,,86.9333333333,64.6
2019-02-19 19:00:00,137.466666667,,49.1333333333,,49.1333333333,,,,74.3333333333,84.4,,109.2,,69.3333333333,68.2
2019-02-19 19:15:00,98.0,,61.5333333333,,61.5333333333,,,,79.2666666667,83.6666666667,,102.4,,74.7333333333,76.1333333333
2019-02-19 19:30:00,119.133333333,,64.6,,64.6,,,,81.3333333333,91.2666666667,,93.2,,76.2666666667,73.5333333333
2019-02-19 19:45:00,84.7333333333,,66.7333333333,,66.7333333333,,,,72.4,88.2666666667,,79.2666666667,,159.866666667,72.4666666667
2019-02-19 20:00:00,126.2,,79.0,,79.0,,,,67.8666666667,88.8666666667,,90.2,,101.733333333,77.3333333333
2019-02-19 20:15:00,224.666666667,,72.0,,72.0,,,,73.1333333333,91.1333333333,,77.4,,84.6,80.1333333333
2019-02-19 20:30:00,124.4,,66.9333333333,,66.9333333333,,,,76.7333333333,90.4,,60.9333333333,,77.0,76.3333333333
2019-02-19 20:45:00,139.733333333,,66.5333333333,,66.5333333333,,,,79.8,91.3333333333,,57.6666666667,,75.1333333333,68.4666666667
2019-02-19 21:00:00,105.866666667,,63.2,,63.2,,,,78.5333333333,92.2666666667,,64.7333333333,,76.0,67.6
2019-02-19 21:15:00,113.533333333,,61.3333333333,,61.3333333333,,,,73.9333333333,92.7333333333,,65.6,,74.9333333333,61.8
